date,standards,activity,video
1/4/2020,,Inservice,,
1/5/2020,19 29 35,Special Triangle Construction,https://youtu.be/Lb9t_w8XLRY,
1/6/2020,19 21 22 29 30 35,Triangles in a circle,https://youtu.be/Lb9t_w8XLRY https://youtu.be/ZogkFKnALa0
1/7/2020,19 21 22 29 30 35,Work Day,,
1/8/2020,19 21 22 29 30 35,Trigonometric Ratios,https://youtu.be/3_cEL-K9wFc,
1/11/2020,,Unit Circle,https://youtu.be/U8Ww1IkoqeM,
1/12/2020,Tangent,file:///home/david/website/geometry/geocal.html,
1/13/2020,Applications of Trigonometry,,
1/14/2020,Study Guide,,
1/15/2020,Test,,
1/18/2020,,Holiday,,
1/19/2020,,Fraction Review,,
1/20/2020,,Radical Review,,
1/21/2020,Test explanation Intro to Solving Trig Equations,,
1/22/2020,,Solving Trig Equations,,
1/25/2020,,Test,,
1/26/2020,,Quiz Intro to quadrilaterals,,
1/27/2020,,,,
1/28/2020,,,,
1/29/2020,,,,
